 4430   Z88I5.TXT,via Z88G V12 NASTRAN
17603 +5.00000E+000 15430 15432 15443
17610 +5.00000E+000 15445 15376 15442
17611 +5.00000E+000 15372 15359 15361
17636 +5.00000E+000 15826 15828 15825
17639 +5.00000E+000 15690 15689 15681
17668 +5.00000E+000   488   525   489
17670 +5.00000E+000 15285 15283 15244
17674 +5.00000E+000 15886 15888 15885
17687 +5.00000E+000 16575 16576 16578
17693 +5.00000E+000 15445 15442 15447
17705 +5.00000E+000 15556 15895 15555
17708 +5.00000E+000 15839 15828 15826
17718 +5.00000E+000 14981 15296 15052
17725 +5.00000E+000 16380 16381 16377
17745 +5.00000E+000 15286 15102 15284
17752 +5.00000E+000 16238 16218 16219
17760 +5.00000E+000 15671 15688 15687
17763 +5.00000E+000 16168 16380 16169
17765 +5.00000E+000 16243 16242 16120
17766 +5.00000E+000 15541 15590 15542
17769 +5.00000E+000 16349 16390 16388
17791 +5.00000E+000 16331 16328 16332
17801 +5.00000E+000 15244 15283 15242
17808 +5.00000E+000 16393 16392 16390
17827 +5.00000E+000 16445 16449 16447
17847 +5.00000E+000 15446 15448 15476
17996 +5.00000E+000 16369 15738 15737
18059 +5.00000E+000 15948 15947 15945
18348 +5.00000E+000 15659 15660 15665
18349 +5.00000E+000 16274 16263 16272
18358 +5.00000E+000   775   793   786
18440 +5.00000E+000 15657 15663 15660
18467 +5.00000E+000 16598 16621 16604
18478 +5.00000E+000   734   729   610
18544 +5.00000E+000 16592 16574 16577
18555 +5.00000E+000 16456 16459 16458
18559 +5.00000E+000 16384 16385 16444
18598 +5.00000E+000 16171 15539 15577
18605 +5.00000E+000 16002 15996 16035
18615 +5.00000E+000 15808 15812 15811
18649 +5.00000E+000   823   826   824
18675 +5.00000E+000 15970 15969 15561
18846 +5.00000E+000 16280 16264 16281
18847 +5.00000E+000 16265 16262 16263
18848 +5.00000E+000 16244 16235 16240
18849 +5.00000E+000 16138 16122 16136
18905 +5.00000E+000   261   564   566
18906 +5.00000E+000   566   570   569
18911 +5.00000E+000   570   571   569
18912 +5.00000E+000 16553 16554 16556
18916 +5.00000E+000   569   260   261
18922 +5.00000E+000   572   256   257
18924 +5.00000E+000 16508 16510 16507
18937 +5.00000E+000   187   605   423
18940 +5.00000E+000 16287 16632 16286
18951 +5.00000E+000 14979 15126 15388
19365 +5.00000E+000 15209 15206 15208
19369 +5.00000E+000 15218 15220 15231
19493 +5.00000E+000 15592 15591 15540
19619 +5.00000E+000 16426 16423 16422
19659 +5.00000E+000 15437 15438 15432
19774 +5.00000E+000   888   899   904
19903 +5.00000E+000 16274 16272 16275
19911 +5.00000E+000 15373 15442 15376
19915 +5.00000E+000 15376 15445 15377
19938 +5.00000E+000 16182 16179 16180
19945 +5.00000E+000 16073 16070 16053
19950 +5.00000E+000 15686 15577 15539
19959 +5.00000E+000 16057 16061 16058
19960 +5.00000E+000 16318 15746 15745
19963 +5.00000E+000 16009 16005 16007
19966 +5.00000E+000 15692 15691 15684
19982 +5.00000E+000 15508 15650 15649
19989 +5.00000E+000 16267 16247 16249
19993 +5.00000E+000 15499 16285 16116
19994 +5.00000E+000 16257 16256 16254
19995 +5.00000E+000 15541 16283 16284
19999 +5.00000E+000 16391 16400 16402
20004 +5.00000E+000   559   416   562
20006 +5.00000E+000 16306 16305 16666
20010 +5.00000E+000 16395 16307 16308
20023 +5.00000E+000   410   411   553
20024 +5.00000E+000 16153 16232 16152
20033 +5.00000E+000 16677 16676 16296
20235 +5.00000E+000   610   394   734
20259 +5.00000E+000 16067 16060 16065
20271 +5.00000E+000 15742 16068 15741
20291 +5.00000E+000 15147 15148 15423
20310 +5.00000E+000 15325 15321 15323
20311 +5.00000E+000 15436 15435 15457
20415 +5.00000E+000   566   569   261
20425 +5.00000E+000   553   412   554
20772 +5.00000E+000   895   897   900
20816 +5.00000E+000 16490 16488 16529
20945 +5.00000E+000 16641 16642 15700
20957 +5.00000E+000 16315 16657 16656
20962 +5.00000E+000 15276 15227 15274
20963 +5.00000E+000 15822 15825 15821
20964 +5.00000E+000 15684 15680 15683
20965 +5.00000E+000 16210 16211 16213
20969 +5.00000E+000 16059 16061 16057
20971 +5.00000E+000 16655 16654 16317
20979 +5.00000E+000 16281 15544 16280
20980 +5.00000E+000 15547 15578 15579
20986 +5.00000E+000 16641 16634 16639
20997 +5.00000E+000 16308 16394 16395
20998 +5.00000E+000 16310 16309 16662
21003 +5.00000E+000 15369 15366 15368
21008 +5.00000E+000 15515 15518 15514
21144 +5.00000E+000 16627 16644 16606
21158 +5.00000E+000 16623 16618 16617
21161 +5.00000E+000 15571 15570 15686
21239 +5.00000E+000 16346 16349 16388
21241 +5.00000E+000   525   524   402
21245 +5.00000E+000   498   406   499
21255 +5.00000E+000   402   403   525
21502 +5.00000E+000 15212 15210 15209
21599 +5.00000E+000 16593 16591 16594
21620 +5.00000E+000 15319 15321 15322
21626 +5.00000E+000 15326 15337 15331
21636 +5.00000E+000 16639 16601 16602
21733 +5.00000E+000 16052 16048 16050
21774 +5.00000E+000 15453 15454 15448
21783 +5.00000E+000 15454 15476 15448
21790 +5.00000E+000 15453 15448 15447
21803 +5.00000E+000 16040 16038 16043
21804 +5.00000E+000 15676 15679 15675
21805 +5.00000E+000 15639 15563 15562
21807 +5.00000E+000 15567 15659 15665
21809 +5.00000E+000 15565 15566 16043
21810 +5.00000E+000 15566 15659 15567
21814 +5.00000E+000 16045 16047 16022
21816 +5.00000E+000 15736 16063 15694
21818 +5.00000E+000 16315 16322 16339
21831 +5.00000E+000 16388 16392 16389
21840 +5.00000E+000 16124 15501 15502
21841 +5.00000E+000 16678 15040 16677
21844 +5.00000E+000 15371 15365 15370
21888 +5.00000E+000 15959 15922 15955
22025 +5.00000E+000   547   567   565
22033 +5.00000E+000   557   559   562
22038 +5.00000E+000   400   612   399
22044 +5.00000E+000 16081 16286 15693
22050 +5.00000E+000   398   605   397
22107 +5.00000E+000   545   556   557
22118 +5.00000E+000   564   261   262
22121 +5.00000E+000   544   536   538
22122 +5.00000E+000   567   547   549
22125 +5.00000E+000   562   417   563
22207 +5.00000E+000   593   252   253
22219 +5.00000E+000   735   732   730
22223 +5.00000E+000   600   607   601
22415 +5.00000E+000 15436 15434 15433
22418 +5.00000E+000 15415 15412 15417
22420 +5.00000E+000 15424 15459 15422
22591 +5.00000E+000 16681 16291 16682
22594 +5.00000E+000 15045 16682 16683
22595 +5.00000E+000 15371 15373 15376
22596 +5.00000E+000   612   611   399
22599 +5.00000E+000 16286 16686 16287
22600 +5.00000E+000 15159 15473 15472
22601 +5.00000E+000 15456 15454 15453
22614 +5.00000E+000 15438 15449 15443
22621 +5.00000E+000 16079 15539 15737
22631 +5.00000E+000 15230 15235 15233
22636 +5.00000E+000 15430 15441 15372
22640 +5.00000E+000 16390 16349 16350
22646 +5.00000E+000 15100 15101 15287
22647 +5.00000E+000 15374 15371 15376
22651 +5.00000E+000 15374 15376 15377
22653 +5.00000E+000 16117 16270 16118
22664 +5.00000E+000 16686 16685 16287
22672 +5.00000E+000 15447 15442 15444
22673 +5.00000E+000 16632 16635 16638
22674 +5.00000E+000 16686 15048 15047
22674 +5.00000E+000 15367 15047 15048
22675 +5.00000E+000 15365 15371 15368
22676 +5.00000E+000 15374 15369 15368
22704 +5.00000E+000 15651 15648 15652
22716 +5.00000E+000 15658 15659 15566
22717 +5.00000E+000 15568 16050 15567
22719 +5.00000E+000 15686 15539 15571
22829 +5.00000E+000 15876 15873 15874
22881 +5.00000E+000   565   564   263
22887 +5.00000E+000   398   611   605
22895 +5.00000E+000   609   606   612
22943 +5.00000E+000   565   566   564
23126 +5.00000E+000 16329 16332 16328
23172 +5.00000E+000 15418 15421 15422
23180 +5.00000E+000 15438 15451 15449
23182 +5.00000E+000 15440 15437 15439
23295 +5.00000E+000 16030 16047 16051
23317 +5.00000E+000 15702 16636 15701
23324 +5.00000E+000 15749 15702 15701
23329 +5.00000E+000 15672 15670 15681
23337 +5.00000E+000 16058 15736 15735
23338 +5.00000E+000 16048 16052 16051
23341 +5.00000E+000 16064 16063 16058
23344 +5.00000E+000 15219 15225 15220
23347 +5.00000E+000 15230 15233 15212
23349 +5.00000E+000 15546 15578 15547
23354 +5.00000E+000 16354 16360 16359
23358 +5.00000E+000   525   522   524
23466 +5.00000E+000 16078 16079 15738
23479 +5.00000E+000 15320 15319 15322
23481 +5.00000E+000 15404 15407 15343
23565 +5.00000E+000   392   735   393
23575 +5.00000E+000 15375 15392 15390
23631 +5.00000E+000   262   263   564
23850 +5.00000E+000 16678 16677 16294
23861 +5.00000E+000 15041 15106 15040
23864 +5.00000E+000   577   574   579
23915 +5.00000E+000 15328 15398 15339
23922 +5.00000E+000 15413 15401 15402
23924 +5.00000E+000   367   750   745
23952 +5.00000E+000 15371 15370 15373
23954 +5.00000E+000 15450 15447 15444
23955 +5.00000E+000 15448 15445 15447
23979 +5.00000E+000 16024 16029 16023
23985 +5.00000E+000 15048 15366 15367
24017 +5.00000E+000 15608 15610 15556
24030 +5.00000E+000 15666 15567 15665
24178 +5.00000E+000 15160 15161 15473
24486 +5.00000E+000 15095 15247 15094
24497 +5.00000E+000 15985 15986 15988
24498 +5.00000E+000 15178 15177 15089
24523 +5.00000E+000 16510 16554 16553
24588 +5.00000E+000 15404 15409 15407
24674 +5.00000E+000 15431 15428 15434
24675 +5.00000E+000 15434 15439 15437
24685 +5.00000E+000 15459 15457 15422
24688 +5.00000E+000 15431 15434 15437
24700 +5.00000E+000 15637 15561 15631
24702 +5.00000E+000 15638 15562 15561
24707 +5.00000E+000 16258 16253 16260
24776 +5.00000E+000 15661 15643 15644
24858 +5.00000E+000 16148 16147 16629
24865 +5.00000E+000 16022 16041 16045
24866 +5.00000E+000 16002 16035 16039
24954 +5.00000E+000 15159 15160 15473
24955 +5.00000E+000   233   383   232
24987 +5.00000E+000 15524 15498 15517
25058 +5.00000E+000   725   727   726
25243 +5.00000E+000 16010 16009 16007
25348 +5.00000E+000 15424 15421 15423
25358 +5.00000E+000 15434 15436 15439
25404 +5.00000E+000 15426 15360 15357
25407 +5.00000E+000 15149 15150 15424
25408 +5.00000E+000 15755 15753 15762
25417 +5.00000E+000 15942 15924 15961
25419 +5.00000E+000 15657 15639 15640
25421 +5.00000E+000 15564 15657 15658
25455 +5.00000E+000 16677 15040 15039
25476 +5.00000E+000 15857 15859 15848
25500 +5.00000E+000 16145 16653 16651
25501 +5.00000E+000 15884 15889 15886
25502 +5.00000E+000 15545 15538 16279
25631 +5.00000E+000   415   559   558
25639 +5.00000E+000   558   559   556
25641 +5.00000E+000   414   558   413
25647 +5.00000E+000 15034 16672 15035
25725 +5.00000E+000   255   591   254
25835 +5.00000E+000   516   298   299
25908 +5.00000E+000 15536 15527 15535
25912 +5.00000E+000 15536 15508 15530
26041 +5.00000E+000 15440 15438 15437
26042 +5.00000E+000 15432 15431 15437
26048 +5.00000E+000 15430 15429 15432
26078 +5.00000E+000 15570 16056 15569
26111 +5.00000E+000 15420 15147 15423
26113 +5.00000E+000   377   226   227
26114 +5.00000E+000 15421 15424 15422
26124 +5.00000E+000 15950 15944 15967
26135 +5.00000E+000 16070 16032 16053
26137 +5.00000E+000 15620 15617 15618
26138 +5.00000E+000 16125 16126 16124
26189 +5.00000E+000 15800 15798 15803
26328 +5.00000E+000   231   382   381
26589 +5.00000E+000   543   545   548
26593 +5.00000E+000 16300 16671 16301
26681 +5.00000E+000 16617 16151 16150
26707 +5.00000E+000 15368 15363 15365
26710 +5.00000E+000 15047 16685 16686
26716 +5.00000E+000 15363 15366 14977
26719 +5.00000E+000 16284 16283 16275
26722 +5.00000E+000 15770 15771 15773
26731 +5.00000E+000 15347 15349 15352
26733 +5.00000E+000   221   222   373
26735 +5.00000E+000 15420 15417 15414
26744 +5.00000E+000 15401 15405 15400
26748 +5.00000E+000 15414 15413 15419
26754 +5.00000E+000 15611 15556 15610
26758 +5.00000E+000 15613 15616 15615
26761 +5.00000E+000 15588 15585 15584
26769 +5.00000E+000 16142 16118 16119
26781 +5.00000E+000 15128 15386 15127
26854 +5.00000E+000 15852 15851 15855
26856 +5.00000E+000 15623 15624 15626
26858 +5.00000E+000   696   694   691
27017 +5.00000E+000 16235 16237 16234
27036 +5.00000E+000   547   546   549
27038 +5.00000E+000   561   563   575
27332 +5.00000E+000 16140 16126 16125
27348 +5.00000E+000 16571 16566 16572
27359 +5.00000E+000   820   822   825
27370 +5.00000E+000   839   842   840
27435 +5.00000E+000   389   388   742
27438 +5.00000E+000 15474 15475 15393
27476 +5.00000E+000 16050 15568 16055
27477 +5.00000E+000 16050 16048 16046
27502 +5.00000E+000 15046 16685 15047
27502 +5.00000E+000 15382 15046 15047
27507 +5.00000E+000 15762 15780 15771
27510 +5.00000E+000 15401 15413 15411
27513 +5.00000E+000 15334 15348 15346
27515 +5.00000E+000 15427 15433 15428
27519 +5.00000E+000 15662 15644 15653
27521 +5.00000E+000 15611 15558 15557
27546 +5.00000E+000 16385 16383 16387
27554 +5.00000E+000 15533 15534 15519
27566 +5.00000E+000 14986 15043 15129
27653 +5.00000E+000 16075 15740 16072
27717 +5.00000E+000 15419 15146 15147
27765 +5.00000E+000   588   590   592
27948 +5.00000E+000   775   792   793
28082 +5.00000E+000 15369 15384 15367
28084 +5.00000E+000 15354 15356 15357
28088 +5.00000E+000 15406 15409 15404
28092 +5.00000E+000 15408 15427 15425
28096 +5.00000E+000 15136 15318 15317
28103 +5.00000E+000   723   720   722
28105 +5.00000E+000 15405 15406 15403
28115 +5.00000E+000 15550 15599 15551
28119 +5.00000E+000 15597 15598 15594
28121 +5.00000E+000 15774 15776 15778
28126 +5.00000E+000 16273 16275 16272
28137 +5.00000E+000   596   584   586
28239 +5.00000E+000 16319 15745 15744
28265 +5.00000E+000 16045 16048 16047
28266 +5.00000E+000 16046 16048 16045
28324 +5.00000E+000 16285 15499 15540
28359 +5.00000E+000 15112 15035 15111
28360 +5.00000E+000 16675 16298 16297
28365 +5.00000E+000   416   559   415
28368 +5.00000E+000   367   745   368
28386 +5.00000E+000 15411 15406 15405
28450 +5.00000E+000 16127 15514 15513
28497 +5.00000E+000   593   251   252
28578 +5.00000E+000 15597 15505 15506
28756 +5.00000E+000 16433 16435 16432
28775 +5.00000E+000 15756 15701 15700
28843 +5.00000E+000 15398 15405 15403
28845 +5.00000E+000 15356 15344 15408
28846 +5.00000E+000 15786 15784 15787
28850 +5.00000E+000 15883 15552 15553
28852 +5.00000E+000   694   696   697
28853 +5.00000E+000 15600 15553 15552
28854 +5.00000E+000 16051 16047 16048
28859 +5.00000E+000 16276 16116 16277
28860 +5.00000E+000 16273 16272 16269
28863 +5.00000E+000 15533 15512 15511
28864 +5.00000E+000 16284 16275 16277
28869 +5.00000E+000 16370 16373 16372
28874 +5.00000E+000 15679 15681 15670
28875 +5.00000E+000 16166 16165 16387
28879 +5.00000E+000 16172 16171 15577
28880 +5.00000E+000 16365 16363 16366
28881 +5.00000E+000 16371 16375 16373
28882 +5.00000E+000 16381 16167 16386
28887 +5.00000E+000 16296 16676 16675
28889 +5.00000E+000 15038 16675 16676
28890 +5.00000E+000   417   562   416
28949 +5.00000E+000 15975 15563 16037
29022 +5.00000E+000 16387 16383 16386
29069 +5.00000E+000   719   722   717
29072 +5.00000E+000   720   717   722
29139 +5.00000E+000   289   290   502
29406 +5.00000E+000 15940 15946 15945
29472 +5.00000E+000 15476 15454 15478
29522 +5.00000E+000 16637 16286 16632
29525 +5.00000E+000 15351 15364 15362
29531 +5.00000E+000 15748 15749 15752
29536 +5.00000E+000 15383 15045 15046
29539 +5.00000E+000 15474 15477 15475
29541 +5.00000E+000 16641 16639 16642
29547 +5.00000E+000 15389 15387 15394
29548 +5.00000E+000 15043 15381 15042
29562 +5.00000E+000 16041 16002 16039
29569 +5.00000E+000 16034 16038 16036
29703 +5.00000E+000 15592 15597 15594
29722 +5.00000E+000   554   412   413
29727 +5.00000E+000   559   557   556
29728 +5.00000E+000 16670 16301 16671
29734 +5.00000E+000   540   543   541
29738 +5.00000E+000 15112 15113 15034
29739 +5.00000E+000 15321 15318 15323
29740 +5.00000E+000   878   880   881
29742 +5.00000E+000   717   363   362
29801 +5.00000E+000   731   247   726
30028 +5.00000E+000   415   558   414
30031 +5.00000E+000   497   495   494
30039 +5.00000E+000   550   553   551
30045 +5.00000E+000   837   799   801
30049 +5.00000E+000   778   779   776
30072 +5.00000E+000 15414 15411 15413
30140 +5.00000E+000   392   736   735
30158 +5.00000E+000 16570 16568 16609
30217 +5.00000E+000   614   396   395
30220 +5.00000E+000 16290 16682 16291
30221 +5.00000E+000 16289 16290 16585
30235 +5.00000E+000 16276 16273 16271
30238 +5.00000E+000 16267 16270 16271
30243 +5.00000E+000 16270 16117 16271
30246 +5.00000E+000 16117 16141 16140
30252 +5.00000E+000 16130 16135 16136
30256 +5.00000E+000 16380 16375 16169
30353 +5.00000E+000 16377 16373 16375
30423 +5.00000E+000   534   531   533
30437 +5.00000E+000 15859 15857 15860
30447 +5.00000E+000 15840 15839 15837
30450 +5.00000E+000   873   870   872
30631 +5.00000E+000   776   766   778
30632 +5.00000E+000   779   778   784
30635 +5.00000E+000   762   648   645
30757 +5.00000E+000 15361 15429 15430
30758 +5.00000E+000 15370 15372 15373
30763 +5.00000E+000 15359 15372 15370
30764 +5.00000E+000 15436 15457 15458
30768 +5.00000E+000 15387 15386 15383
30770 +5.00000E+000 14979 15388 15389
30773 +5.00000E+000 15596 15595 15593
30774 +5.00000E+000 15591 15594 15593
30775 +5.00000E+000 15531 15508 15507
30781 +5.00000E+000 15354 15349 15348
30783 +5.00000E+000 15611 15557 15556
30790 +5.00000E+000 16379 16383 16382
30801 +5.00000E+000 15041 15042 15380
30842 +5.00000E+000 16056 16074 16054
30881 +5.00000E+000 16169 16374 16170
30883 +5.00000E+000 16169 16375 16374
30906 +5.00000E+000 15839 15857 15848
30921 +5.00000E+000   704   705   702
30992 +5.00000E+000   476   495   533
31003 +5.00000E+000   709   714   712
31354 +5.00000E+000 14988 15362 14987
31400 +5.00000E+000 15360 15429 15361
31403 +5.00000E+000 15590 15581 15542
31406 +5.00000E+000 15711 15775 15817
31412 +5.00000E+000 15248 15245 15247
31414 +5.00000E+000 15948 15951 15990
31415 +5.00000E+000 15564 15565 16038
31420 +5.00000E+000 16059 16016 16060
31425 +5.00000E+000 16036 16038 16040
31438 +5.00000E+000 16117 16116 16276
31552 +5.00000E+000 15687 15577 15686
31558 +5.00000E+000   268   530   539
31563 +5.00000E+000   538   537   554
31565 +5.00000E+000   699   702   696
31568 +5.00000E+000 15905 15903 15901
31579 +5.00000E+000   670   679   671
31610 +5.00000E+000   741   742   240
31620 +5.00000E+000 16600 16605 16602
31701 +5.00000E+000   512   519   520
31807 +5.00000E+000 16492 16486 16489
31816 +5.00000E+000   765   762   767
31831 +5.00000E+000   662   659   661
31866 +5.00000E+000 15999 15988 15986
31924 +5.00000E+000 16551 16509 16553
31963 +5.00000E+000 15358 15361 15359
31969 +5.00000E+000 15385 15383 15382
31970 +5.00000E+000 16637 15693 16286
31971 +5.00000E+000 15581 15543 15542
32070 +5.00000E+000 15016 15015 16113
32153 +5.00000E+000 16208 16222 16205
32154 +5.00000E+000 16228 16222 16226
32194 +5.00000E+000 15056 15003 15057
32280 +5.00000E+000 15479 15478 15454
32286 +5.00000E+000 15148 15149 15423
32556 +5.00000E+000   562   560   557
32563 +5.00000E+000   542   544   545
32619 +5.00000E+000 15364 15370 15365
32623 +5.00000E+000 15363 15368 15366
32634 +5.00000E+000 15590 15591 15593
32644 +5.00000E+000 16134 16132 16131
32650 +5.00000E+000 15509 15510 15655
32651 +5.00000E+000 15656 15510 15677
32676 +5.00000E+000 16671 16672 15034
32844 +5.00000E+000 16499 16501 16503
32847 +5.00000E+000   337   338   800
32851 +5.00000E+000 15919 15920 15937
32857 +5.00000E+000   838   835   837
32867 +5.00000E+000   797   337   800
32907 +5.00000E+000   544   538   555
32920 +5.00000E+000   538   535   537
32923 +5.00000E+000   541   543   546
32925 +5.00000E+000   545   544   556
33248 +5.00000E+000 15443 15444 15441
33255 +5.00000E+000 15039 16676 16677
33259 +5.00000E+000 16297 16500 16505
33264 +5.00000E+000 16672 16673 15035
33267 +5.00000E+000 15037 15379 15378
33276 +5.00000E+000 15649 15650 15646
33281 +5.00000E+000 16037 15563 15564
33282 +5.00000E+000 15564 15563 15639
33289 +5.00000E+000 16282 16265 16274
33294 +5.00000E+000 16232 16233 16250
33296 +5.00000E+000 15543 16282 15542
33299 +5.00000E+000 16235 16246 16237
33306 +5.00000E+000 16337 16355 16352
33307 +5.00000E+000 16374 16375 16371
33435 +5.00000E+000   802   338   339
33467 +5.00000E+000 16642 16645 15699
33716 +5.00000E+000 16484 16442 16487
33723 +5.00000E+000   490   493   491
33724 +5.00000E+000   537   534   551
33725 +5.00000E+000   473   476   474
33732 +5.00000E+000   644   632   634
33742 +5.00000E+000 14977 16082 14987
33750 +5.00000E+000 15362 15365 15363
33817 +5.00000E+000 15846 15717 15716
33829 +5.00000E+000   563   418   581
33832 +5.00000E+000 16294 16677 16295
33839 +5.00000E+000 15542 16282 16283
33841 +5.00000E+000 16068 16067 16065
33850 +5.00000E+000   497   496   408
33855 +5.00000E+000 16202 16206 16208
33859 +5.00000E+000 16118 16270 16249
33867 +5.00000E+000 16305 16304 16667
33868 +5.00000E+000 16125 15503 16139
33973 +5.00000E+000 15962 15966 15965
33993 +5.00000E+000 15239 15240 15237
34075 +5.00000E+000   760   326   327
34090 +5.00000E+000   768   773   778
34095 +5.00000E+000   773   772   775
34098 +5.00000E+000   325   326   760
34215 +5.00000E+000 15211 15068 15069
34448 +5.00000E+000 16084 14988 16083
34451 +5.00000E+000 15360 15358 15355
34464 +5.00000E+000 15038 15108 15379
34485 +5.00000E+000 16039 16035 16036
34486 +5.00000E+000 15952 15993 15951
34493 +5.00000E+000 16471 16426 16473
34495 +5.00000E+000 16308 16309 16394
34496 +5.00000E+000 16667 15030 16666
34502 +5.00000E+000 16416 16417 16306
34503 +5.00000E+000 15029 16666 15030
34593 +5.00000E+000 16055 16056 16052
34595 +5.00000E+000 16051 16053 16030
34662 +5.00000E+000   560   548   557
34691 +5.00000E+000   728   727   730
34930 +5.00000E+000 16384 16382 16385
34958 +5.00000E+000 16418 16419 16421
35033 +5.00000E+000 15459 15460 15457
35035 +5.00000E+000 15431 15432 15429
35036 +5.00000E+000 15433 15434 15428
35082 +5.00000E+000 15037 15038 15379
35082 +5.00000E+000 15037 16675 15038
35086 +5.00000E+000 16674 16675 15037
35090 +5.00000E+000 15569 15666 15668
35095 +5.00000E+000 15569 15568 15666
